Category,Year,Title,Venue,PDF,File
fl in top-tier journal,2024,Selective knowledge sharing for privacy-preserving federated distillation without a good teacher,Nat. Commun.,https://arxiv.org/pdf/2304.01731.pdf,AwesomeFL_PDF/fl in top-tier journal/2024_Selective knowledge sharing for privacy-preserving federated distillation without a good t.pdf
fl in top-tier journal,2023,Multi-client distributed blind quantum computation with the Qline architecture,Nat. Commun.,https://arxiv.org/pdf/2306.05195.pdf,AwesomeFL_PDF/fl in top-tier journal/2023_Multi-client distributed blind quantum computation with the Qline architecture.pdf
fl in top-tier journal,2023,Device-independent quantum randomness–enhanced zero-knowledge proof,PNAS,https://arxiv.org/pdf/2111.06717.pdf,AwesomeFL_PDF/fl in top-tier journal/2023_Device-independent quantum randomness–enhanced zero-knowledge proof.pdf
fl in top-tier journal,2023,Federated benchmarking of medical artificial intelligence with MedPerf,Nat. Mach. Intell.,https://arxiv.org/pdf/2110.01406.pdf,AwesomeFL_PDF/fl in top-tier journal/2023_Federated benchmarking of medical artificial intelligence with MedPerf.pdf
fl in top-tier journal,2023,Algorithmic fairness in artificial intelligence for medicine and healthcare,Nat. Biomed. Eng. (Perspective),https://arxiv.org/pdf/2110.00603.pdf,AwesomeFL_PDF/fl in top-tier journal/2023_Algorithmic fairness in artificial intelligence for medicine and healthcare.pdf
fl in top-tier journal,2022,Federated learning enables big data for rare cancer boundary detection,Nat. Commun.,https://arxiv.org/pdf/2204.10836.pdf,AwesomeFL_PDF/fl in top-tier journal/2022_Federated learning enables big data for rare cancer boundary detection.pdf
fl in top-tier journal,2022,Communication-efficient federated learning via knowledge distillation,Nat. Commun.,https://arxiv.org/pdf/2108.13323.pdf,AwesomeFL_PDF/fl in top-tier journal/2022_Communication-efficient federated learning via knowledge distillation.pdf
fl in top-tier journal,2021,Advancing COVID-19 diagnosis with privacy-preserving collaboration in artificial intelligence,Nat. Mach. Intell.,https://arxiv.org/pdf/2111.09461.pdf,AwesomeFL_PDF/fl in top-tier journal/2021_Advancing COVID-19 diagnosis with privacy-preserving collaboration in artificial intellige.pdf
fl in top ai conference and journal,2024,BOBA: Byzantine-Robust Federated Learning with Label Skewness,AISTATS,https://arxiv.org/pdf/2208.12932.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_BOBA: Byzantine-Robust Federated Learning with Label Skewness.pdf
fl in top ai conference and journal,2024,Federated Linear Contextual Bandits with Heterogeneous Clients,AISTATS,https://arxiv.org/pdf/2403.00116.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Federated Linear Contextual Bandits with Heterogeneous Clients.pdf
fl in top ai conference and journal,2024,Federated Experiment Design under Distributed Differential Privacy,AISTATS,https://arxiv.org/pdf/2311.04375.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Federated Experiment Design under Distributed Differential Privacy.pdf
fl in top ai conference and journal,2024,Escaping Saddle Points in Heterogeneous Federated Learning via Distributed SGD with Communication Compression,AISTATS,https://arxiv.org/pdf/2310.19059.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Escaping Saddle Points in Heterogeneous Federated Learning via Distributed SGD with Commun.pdf
fl in top ai conference and journal,2024,Asynchronous SGD on Graphs: a Unified Framework for Asynchronous Decentralized and Federated Optimization,AISTATS,https://arxiv.org/pdf/2311.00465.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Asynchronous SGD on Graphs: a Unified Framework for Asynchronous Decentralized and Federat.pdf
fl in top ai conference and journal,2024,SIFU: Sequential Informed Federated Unlearning for Efficient and Provable Client Unlearning in Federated Optimization,AISTATS,https://arxiv.org/pdf/2211.11656.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_SIFU: Sequential Informed Federated Unlearning for Efficient and Provable Client Unlearnin.pdf
fl in top ai conference and journal,2024,Compression with Exact Error Distribution for Federated Learning,AISTATS,https://arxiv.org/pdf/2310.20682.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Compression with Exact Error Distribution for Federated Learning.pdf
fl in top ai conference and journal,2024,Adaptive Federated Minimax Optimization with Lower Complexities,AISTATS,https://arxiv.org/pdf/2211.07303.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Adaptive Federated Minimax Optimization with Lower Complexities.pdf
fl in top ai conference and journal,2024,Adaptive Compression in Federated Learning via Side Information,AISTATS,https://arxiv.org/pdf/2306.12625.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Adaptive Compression in Federated Learning via Side Information.pdf
fl in top ai conference and journal,2024,FedFisher: Leveraging Fisher Information for One-Shot Federated Learning,AISTATS,https://arxiv.org/pdf/2403.12329.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_FedFisher: Leveraging Fisher Information for One-Shot Federated Learning.pdf
fl in top ai conference and journal,2024,Queuing dynamics of asynchronous Federated Learning,AISTATS,https://arxiv.org/pdf/2405.00017.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Queuing dynamics of asynchronous Federated Learning.pdf
fl in top ai conference and journal,2024,Personalized Federated X-armed Bandit,AISTATS,https://arxiv.org/pdf/2310.16323.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Personalized Federated X-armed Bandit.pdf
fl in top ai conference and journal,2024,Stochastic Smoothed Gradient Descent Ascent for Federated Minimax Optimization,AISTATS,https://arxiv.org/pdf/2311.00944.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Stochastic Smoothed Gradient Descent Ascent for Federated Minimax Optimization.pdf
fl in top ai conference and journal,2024,Understanding Generalization of Federated Learning via Stability: Heterogeneity Matters,AISTATS,https://arxiv.org/pdf/2306.03824.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Understanding Generalization of Federated Learning via Stability: Heterogeneity Matters.pdf
fl in top ai conference and journal,2024,Provable Mutual Benefits from Federated Learning in Privacy-Sensitive Domains,AISTATS,https://arxiv.org/pdf/2403.06672.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Provable Mutual Benefits from Federated Learning in Privacy-Sensitive Domains.pdf
fl in top ai conference and journal,2024,Analysis of Privacy Leakage in Federated Large Language Models,AISTATS,https://arxiv.org/pdf/2403.04784.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Analysis of Privacy Leakage in Federated Large Language Models.pdf
fl in top ai conference and journal,2024,Invariant Aggregator for Defending against Federated Backdoor Attacks,AISTATS,https://arxiv.org/pdf/2210.01834.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Invariant Aggregator for Defending against Federated Backdoor Attacks.pdf
fl in top ai conference and journal,2024,Communication-Efficient Federated Learning With Data and Client Heterogeneity,AISTATS,https://arxiv.org/pdf/2206.10032.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Communication-Efficient Federated Learning With Data and Client Heterogeneity.pdf
fl in top ai conference and journal,2024,No Prejudice! Fair Federated Graph Neural Networks for Personalized Recommendation,AAAI,https://arxiv.org/pdf/2312.10080.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_No Prejudice! Fair Federated Graph Neural Networks for Personalized Recommendation.pdf
fl in top ai conference and journal,2024,Formal Logic Enabled Personalized Federated Learning through Property Inference,AAAI,https://arxiv.org/pdf/2401.07448.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Formal Logic Enabled Personalized Federated Learning through Property Inference.pdf
fl in top ai conference and journal,2024,Task-Agnostic Privacy-Preserving Representation Learning for Federated Learning against Attribute Inference Attacks,AAAI,https://arxiv.org/pdf/2312.06989.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Task-Agnostic Privacy-Preserving Representation Learning for Federated Learning against At.pdf
fl in top ai conference and journal,2024,Combating Data Imbalances in Federated Semi-supervised Learning with Dual Regulators,AAAI,https://arxiv.org/pdf/2307.05358.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Combating Data Imbalances in Federated Semi-supervised Learning with Dual Regulators.pdf
fl in top ai conference and journal,2024,Fed-QSSL: A Framework for Personalized Federated Learning under Bitwidth and Data Heterogeneity,AAAI,https://arxiv.org/pdf/2312.13380.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Fed-QSSL: A Framework for Personalized Federated Learning under Bitwidth and Data Heteroge.pdf
fl in top ai conference and journal,2024,FedDAT: An Approach for Foundation Model Finetuning in Multi-Modal Heterogeneous Federated Learning,AAAI,https://arxiv.org/pdf/2308.12305.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_FedDAT: An Approach for Foundation Model Finetuning in Multi-Modal Heterogeneous Federated.pdf
fl in top ai conference and journal,2024,Watch Your Head: Assembling Projection Heads to Save the Reliability of Federated Models,AAAI,https://arxiv.org/pdf/2402.16255.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Watch Your Head: Assembling Projection Heads to Save the Reliability of Federated Models.pdf
fl in top ai conference and journal,2024,Federated Modality-Specific Encoders and Multimodal Anchors for Personalized Brain Tumor Segmentation,AAAI,https://arxiv.org/pdf/2403.11803.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Federated Modality-Specific Encoders and Multimodal Anchors for Personalized Brain Tumor S.pdf
fl in top ai conference and journal,2024,Exploiting Label Skews in Federated Learning with Model Concatenation,AAAI,https://arxiv.org/pdf/2312.06290.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Exploiting Label Skews in Federated Learning with Model Concatenation.pdf
fl in top ai conference and journal,2024,FedFixer: Mitigating Heterogeneous Label Noise in Federated Learning,AAAI,https://arxiv.org/pdf/2403.16561.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_FedFixer: Mitigating Heterogeneous Label Noise in Federated Learning.pdf
fl in top ai conference and journal,2024,FedLPS: Heterogeneous Federated Learning for Multiple Tasks with Local Parameter Sharing,AAAI,https://arxiv.org/pdf/2402.08578.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_FedLPS: Heterogeneous Federated Learning for Multiple Tasks with Local Parameter Sharing.pdf
fl in top ai conference and journal,2024,Provably Convergent Federated Trilevel Learning,AAAI,https://arxiv.org/pdf/2312.11835.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Provably Convergent Federated Trilevel Learning.pdf
fl in top ai conference and journal,2024,FedDiv: Collaborative Noise Filtering for Federated Learning with Noisy Labels,AAAI,https://arxiv.org/pdf/2312.12263.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_FedDiv: Collaborative Noise Filtering for Federated Learning with Noisy Labels.pdf
fl in top ai conference and journal,2024,Point Transformer with Federated Learning for  Predicting Breast Cancer HER2 Status from Hematoxylin and Eosin-Stained  Whole Slide Images,AAAI,https://arxiv.org/pdf/2312.06454.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Point Transformer with Federated Learning for  Predicting Breast Cancer HER2 Status from H.pdf
fl in top ai conference and journal,2024,FedNS: A Fast Sketching Newton-Type Algorithm for Federated Learning,AAAI,https://arxiv.org/pdf/2401.02734.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_FedNS: A Fast Sketching Newton-Type Algorithm for Federated Learning.pdf
fl in top ai conference and journal,2024,Federated X-armed Bandit,AAAI,https://arxiv.org/pdf/2205.15268.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Federated X-armed Bandit.pdf
fl in top ai conference and journal,2024,UFDA: Universal Federated Domain Adaptation with Practical Assumptions,AAAI,https://arxiv.org/pdf/2311.15570.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_UFDA: Universal Federated Domain Adaptation with Practical Assumptions.pdf
fl in top ai conference and journal,2024,FedASMU: Efficient Asynchronous Federated Learning with Dynamic Staleness-Aware Model Update,AAAI,https://arxiv.org/pdf/2312.05770.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_FedASMU: Efficient Asynchronous Federated Learning with Dynamic Staleness-Aware Model Upda.pdf
fl in top ai conference and journal,2024,Language-Guided Transformer for Federated Multi-Label Classification,AAAI,https://arxiv.org/pdf/2312.07165.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Language-Guided Transformer for Federated Multi-Label Classification.pdf
fl in top ai conference and journal,2024,Federated Learning with Extremely Noisy Clients via Negative Distillation,AAAI,https://arxiv.org/pdf/2312.12703.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Federated Learning with Extremely Noisy Clients via Negative Distillation.pdf
fl in top ai conference and journal,2024,PPIDSG: A Privacy-Preserving Image Distribution Sharing Scheme with GAN in Federated Learning,AAAI,https://arxiv.org/pdf/2312.10380.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_PPIDSG: A Privacy-Preserving Image Distribution Sharing Scheme with GAN in Federated Learn.pdf
fl in top ai conference and journal,2024,A Primal-Dual Algorithm for Hybrid Federated Learning,AAAI,https://arxiv.org/pdf/2210.08106.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_A Primal-Dual Algorithm for Hybrid Federated Learning.pdf
fl in top ai conference and journal,2024,Towards Fair Graph Federated Learning via Incentive Mechanisms,AAAI,https://arxiv.org/pdf/2312.13306.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Towards Fair Graph Federated Learning via Incentive Mechanisms.pdf
fl in top ai conference and journal,2024,Resisting Backdoor Attacks in Federated Learning via Bidirectional Elections and Individual Perspective,AAAI,https://arxiv.org/pdf/2309.16456.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Resisting Backdoor Attacks in Federated Learning via Bidirectional Elections and Individua.pdf
fl in top ai conference and journal,2024,CLIP-Guided Federated Learning on Heterogeneity and Long-Tailed Data,AAAI,https://arxiv.org/pdf/2312.08648.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_CLIP-Guided Federated Learning on Heterogeneity and Long-Tailed Data.pdf
fl in top ai conference and journal,2024,Federated Adaptive Prompt Tuning for Multi-Domain Collaborative Learning,AAAI,https://arxiv.org/pdf/2211.07864.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Federated Adaptive Prompt Tuning for Multi-Domain Collaborative Learning.pdf
fl in top ai conference and journal,2024,Multi-Dimensional Fair Federated Learning,AAAI,https://arxiv.org/pdf/2312.05551.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Multi-Dimensional Fair Federated Learning.pdf
fl in top ai conference and journal,2024,On the Role of Server Momentum in Federated Learning,AAAI,https://arxiv.org/pdf/2312.12670.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_On the Role of Server Momentum in Federated Learning.pdf
fl in top ai conference and journal,2024,FedCompetitors: Harmonious Collaboration in Federated Learning with Competing Participants,AAAI,https://arxiv.org/pdf/2312.11391.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_FedCompetitors: Harmonious Collaboration in Federated Learning with Competing Participants.pdf
fl in top ai conference and journal,2024,TurboSVM-FL: Boosting Federated Learning through SVM Aggregation for Lazy Clients,AAAI,https://arxiv.org/pdf/2401.12012.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_TurboSVM-FL: Boosting Federated Learning through SVM Aggregation for Lazy Clients.pdf
fl in top ai conference and journal,2024,Multi-Source Collaborative Gradient Discrepancy Minimization for Federated Domain Generalization,AAAI,https://arxiv.org/pdf/2401.10272.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Multi-Source Collaborative Gradient Discrepancy Minimization for Federated Domain Generali.pdf
fl in top ai conference and journal,2024,Concealing Sensitive Samples against Gradient Leakage in Federated Learning,AAAI,https://arxiv.org/pdf/2209.05724.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Concealing Sensitive Samples against Gradient Leakage in Federated Learning.pdf
fl in top ai conference and journal,2024,FedA3I: Annotation Quality-Aware Aggregation for Federated Medical Image Segmentation against Heterogeneous Annotation Noise,AAAI,https://arxiv.org/pdf/2312.12838.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_FedA3I: Annotation Quality-Aware Aggregation for Federated Medical Image Segmentation agai.pdf
fl in top ai conference and journal,2024,Federated Causality Learning with Explainable Adaptive Optimization,AAAI,https://arxiv.org/pdf/2312.05540.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Federated Causality Learning with Explainable Adaptive Optimization.pdf
fl in top ai conference and journal,2024,Federated Contextual Cascading Bandits with Asynchronous Communication and Heterogeneous Users,AAAI,https://arxiv.org/pdf/2402.16312.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Federated Contextual Cascading Bandits with Asynchronous Communication and Heterogeneous U.pdf
fl in top ai conference and journal,2024,Exploring One-Shot Semi-supervised Federated Learning with Pre-trained Diffusion Models,AAAI,https://arxiv.org/pdf/2305.04063.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_Exploring One-Shot Semi-supervised Federated Learning with Pre-trained Diffusion Models.pdf
fl in top ai conference and journal,2024,FedTGP: Trainable Global Prototypes with  Adaptive-Margin-Enhanced Contrastive Learning for Data and Model  Heterogeneity in Federated Learning,AAAI,https://arxiv.org/pdf/2401.03230.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_FedTGP: Trainable Global Prototypes with  Adaptive-Margin-Enhanced Contrastive Learning fo.pdf
fl in top ai conference and journal,2024,LR-XFL: Logical Reasoning-Based Explainable Federated Learning,AAAI,https://arxiv.org/pdf/2308.12681.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_LR-XFL: Logical Reasoning-Based Explainable Federated Learning.pdf
fl in top ai conference and journal,2024,A Huber Loss Minimization Approach to Byzantine Robust Federated Learning,AAAI,https://arxiv.org/pdf/2308.12581.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2024_A Huber Loss Minimization Approach to Byzantine Robust Federated Learning.pdf
fl in top ai conference and journal,2023,Untargeted Attack against Federated Recommendation Systems via Poisonous Item Embeddings and the Defense,AAAI,https://arxiv.org/pdf/2212.05399.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Untargeted Attack against Federated Recommendation Systems via Poisonous Item Embeddings a.pdf
fl in top ai conference and journal,2023,Incentive-Boosted Federated Crowdsourcing,AAAI,https://arxiv.org/pdf/2211.14439.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Incentive-Boosted Federated Crowdsourcing.pdf
fl in top ai conference and journal,2023,Tackling Data Heterogeneity in Federated Learning with Class Prototypes,AAAI,https://arxiv.org/pdf/2212.02758.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Tackling Data Heterogeneity in Federated Learning with Class Prototypes.pdf
fl in top ai conference and journal,2023,FairFed: Enabling Group Fairness in Federated Learning,AAAI,https://arxiv.org/pdf/2110.00857.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FairFed: Enabling Group Fairness in Federated Learning.pdf
fl in top ai conference and journal,2023,Almost Cost-Free Communication in Federated Best Arm Identification,AAAI,https://arxiv.org/pdf/2208.09215.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Almost Cost-Free Communication in Federated Best Arm Identification.pdf
fl in top ai conference and journal,2023,Layer-Wise Adaptive Model Aggregation for Scalable Federated Learning,AAAI,https://arxiv.org/pdf/2110.10302.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Layer-Wise Adaptive Model Aggregation for Scalable Federated Learning.pdf
fl in top ai conference and journal,2023,Securing Secure Aggregation: Mitigating Multi-Round Privacy Leakage in Federated Learning,AAAI,https://arxiv.org/pdf/2106.03328.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Securing Secure Aggregation: Mitigating Multi-Round Privacy Leakage in Federated Learning.pdf
fl in top ai conference and journal,2023,Federated Learning on Non-IID Graphs via Structural Knowledge Sharing,AAAI,https://arxiv.org/pdf/2211.13009.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Federated Learning on Non-IID Graphs via Structural Knowledge Sharing.pdf
fl in top ai conference and journal,2023,Efficient  Distribution Similarity Identification in Clustered Federated Learning  via Principal Angles between Client Data Subspaces,AAAI,https://arxiv.org/pdf/2209.10526.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Efficient  Distribution Similarity Identification in Clustered Federated Learning  via Pri.pdf
fl in top ai conference and journal,2023,FedABC: Targeting Fair Competition in Personalized Federated Learning,AAAI,https://arxiv.org/pdf/2302.07450.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FedABC: Targeting Fair Competition in Personalized Federated Learning.pdf
fl in top ai conference and journal,2023,Beyond ADMM: A Unified Client-Variance-Reduced Adaptive Federated Learning Framework,AAAI,https://arxiv.org/pdf/2212.01519.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Beyond ADMM: A Unified Client-Variance-Reduced Adaptive Federated Learning Framework.pdf
fl in top ai conference and journal,2023,FedGS: Federated Graph-Based Sampling with Arbitrary Client Availability,AAAI,https://arxiv.org/pdf/2211.13975.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FedGS: Federated Graph-Based Sampling with Arbitrary Client Availability.pdf
fl in top ai conference and journal,2023,Faster Adaptive Federated Learning,AAAI,https://arxiv.org/pdf/2212.00974.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Faster Adaptive Federated Learning.pdf
fl in top ai conference and journal,2023,Bayesian Federated Neural Matching That Completes Full Information,AAAI,https://arxiv.org/pdf/2211.08010.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Bayesian Federated Neural Matching That Completes Full Information.pdf
fl in top ai conference and journal,2023,CDMA: A Practical Cross-Device Federated Learning Algorithm for General Minimax Problems,AAAI,https://arxiv.org/pdf/2105.14216.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_CDMA: A Practical Cross-Device Federated Learning Algorithm for General Minimax Problems.pdf
fl in top ai conference and journal,2023,FedALA: Adaptive Local Aggregation for Personalized Federated Learning,AAAI,https://arxiv.org/pdf/2212.01197.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FedALA: Adaptive Local Aggregation for Personalized Federated Learning.pdf
fl in top ai conference and journal,2023,Delving into the Adversarial Robustness of Federated Learning,AAAI,https://arxiv.org/pdf/2302.09479.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Delving into the Adversarial Robustness of Federated Learning.pdf
fl in top ai conference and journal,2023,On the Vulnerability of Backdoor Defenses for Federated Learning,AAAI,https://arxiv.org/pdf/2301.08170.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_On the Vulnerability of Backdoor Defenses for Federated Learning.pdf
fl in top ai conference and journal,2023,Echo of Neighbors: Privacy Amplification for Personalized Private Federated Learning with Shuffle Model,AAAI,https://arxiv.org/pdf/2304.05516.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Echo of Neighbors: Privacy Amplification for Personalized Private Federated Learning with .pdf
fl in top ai conference and journal,2023,DPAUC: Differentially Private AUC Computation in Federated Learning,AAAI Special Tracks,https://arxiv.org/pdf/2208.12294.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_DPAUC: Differentially Private AUC Computation in Federated Learning.pdf
fl in top ai conference and journal,2023,Efficient Training of Large-Scale Industrial Fault Diagnostic Models through Federated Opportunistic Block Dropout,AAAI Special Programs,https://arxiv.org/pdf/2302.11485.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Efficient Training of Large-Scale Industrial Fault Diagnostic Models through Federated Opp.pdf
fl in top ai conference and journal,2023,Industry-Scale Orchestrated Federated Learning for Drug Discovery,AAAI Special Programs,https://arxiv.org/pdf/2210.08871.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Industry-Scale Orchestrated Federated Learning for Drug Discovery.pdf
fl in top ai conference and journal,2023,FedSampling: A Better Sampling Strategy for Federated Learning,IJCAI,https://arxiv.org/pdf/2306.14245.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FedSampling: A Better Sampling Strategy for Federated Learning.pdf
fl in top ai conference and journal,2023,HyperFed: Hyperbolic Prototypes Exploration with Consistent Aggregation for Non-IID Data in Federated Learning,IJCAI,https://arxiv.org/pdf/2307.14384.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_HyperFed: Hyperbolic Prototypes Exploration with Consistent Aggregation for Non-IID Data i.pdf
fl in top ai conference and journal,2023,FedOBD: Opportunistic Block Dropout for Efficiently Training Large-scale Neural Networks through Federated Learning,IJCAI,https://arxiv.org/pdf/2208.05174.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FedOBD: Opportunistic Block Dropout for Efficiently Training Large-scale Neural Networks t.pdf
fl in top ai conference and journal,2023,BARA: Efficient Incentive Mechanism with Online Reward Budget Allocation in Cross-Silo Federated Learning,IJCAI,https://arxiv.org/pdf/2305.05221.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_BARA: Efficient Incentive Mechanism with Online Reward Budget Allocation in Cross-Silo Fed.pdf
fl in top ai conference and journal,2023,FedDWA: Personalized Federated Learning with Dynamic Weight Adjustment,IJCAI,https://arxiv.org/pdf/2305.06124.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FedDWA: Personalized Federated Learning with Dynamic Weight Adjustment.pdf
fl in top ai conference and journal,2023,FedPass: Privacy-Preserving Vertical Federated Deep Learning with Adaptive Obfuscation,IJCAI,https://arxiv.org/pdf/2301.12623.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FedPass: Privacy-Preserving Vertical Federated Deep Learning with Adaptive Obfuscation.pdf
fl in top ai conference and journal,2023,Dual Personalization on Federated Recommendation,IJCAI,https://arxiv.org/pdf/2301.08143.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Dual Personalization on Federated Recommendation.pdf
fl in top ai conference and journal,2023,FedNoRo: Towards Noise-Robust Federated Learning by Addressing Class Imbalance and Label Noise Heterogeneity,IJCAI,https://arxiv.org/pdf/2305.05230.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FedNoRo: Towards Noise-Robust Federated Learning by Addressing Class Imbalance and Label N.pdf
fl in top ai conference and journal,2023,Denial-of-Service or Fine-Grained Control: Towards Flexible Model Poisoning Attacks on Federated Learning,IJCAI,https://arxiv.org/pdf/2304.10783.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Denial-of-Service or Fine-Grained Control: Towards Flexible Model Poisoning Attacks on Fed.pdf
fl in top ai conference and journal,2023,FedHGN: A Federated Framework for Heterogeneous Graph Neural Networks,IJCAI,https://arxiv.org/pdf/2305.09729.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FedHGN: A Federated Framework for Heterogeneous Graph Neural Networks.pdf
fl in top ai conference and journal,2023,FedET: A Communication-Efficient Federated Class-Incremental Learning Framework Based on Enhanced Transformer,IJCAI,https://arxiv.org/pdf/2306.15347.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_FedET: A Communication-Efficient Federated Class-Incremental Learning Framework Based on E.pdf
fl in top ai conference and journal,2023,Prompt Federated Learning for Weather Forecasting: Toward Foundation Models on Meteorological Data,IJCAI,https://arxiv.org/pdf/2301.09152.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Prompt Federated Learning for Weather Forecasting: Toward Foundation Models on Meteorologi.pdf
fl in top ai conference and journal,2023,Bayesian Federated Learning: A Survey,IJCAI Survey Track,https://arxiv.org/pdf/2304.13267.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Bayesian Federated Learning: A Survey.pdf
fl in top ai conference and journal,2023,A Survey of Federated Evaluation in Federated Learning,IJCAI Survey Track,https://arxiv.org/pdf/2305.08070.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_A Survey of Federated Evaluation in Federated Learning.pdf
fl in top ai conference and journal,2023,Federated Learning on Non-IID Graphs via Structural Knowledge Sharing,AAAI,https://arxiv.org/pdf/2211.13009.pdf,AwesomeFL_PDF/fl in top ai conference and journal/2023_Federated Learning on Non-IID Graphs via Structural Knowledge Sharing.pdf
